Unnamed: 0,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Bench,Agility,Sprint,Position
229,Otto Porter,2013,1,79.5,80.5,85.5,105.5,36,141.5,27,132.5,198,6.7,9,11.25,3.4,3
230,Allen Crabbe,2013,1,77.25,78.25,83.25,103.5,36,139.5,30.5,134,197,4.7,10,10.67,3.32,2
231,Carrick Felix,2013,1,76.75,78.25,81.25,103.5,38.5,142,32,135.5,203,3.3,15,11.16,3.25,2
232,Isaiah Canaan,2013,1,71,72,76.5,94.5,40.5,135,33,127.5,188,5.9,16,10.98,3.22,1
233,Glen Rice,2013,1,76.5,77.75,81.25,101.5,40.5,142,33,134.5,211,8.5,10,10.99,3.25,2
234,Ray McCallum,2013,1,72.25,73.75,75.25,96.5,40,136.5,30.5,127,191,7.3,5,10.82,3.25,1
235,Tony Mitchell,2013,1,79.5,80.75,86.5,106.5,38,144.5,33.5,140,236,5.6,13,11.82,3.52,3
237,Jeff Withey,2013,1,82.75,84.5,86,110.5,29,139.5,26.5,137,222,8.7,10,12.49,3.47,5
238,Cody Zeller,2013,1,82.75,84.25,82.75,106,37.5,143.5,35.5,141.5,230,4.8,17,10.82,3.15,4
239,Grant Jerrett,2013,1,80.75,82.25,86,109,34,143,28.5,137.5,232,10.1,2,11.85,3.51,4
242,Ricky Ledo,2013,1,76.75,78,79.25,102.5,33.5,136,27,129.5,197,10.3,4,10.72,3.32,2
243,Mike Muscala,2013,1,82.25,83.5,85,108,33.5,141.5,28,136,230,6.8,5,11.76,3.44,2
246,Erik Murphy,2013,1,80.75,81.5,82.5,108,29.5,137.5,24.5,132.5,240,8,13,12.19,3.57,3
247,James Ennis,2013,1,77.75,79,83.5,104.5,36.5,141,29.5,134,201,4.5,7,11.55,3.4,3
248,Lorenzo Brown,2013,1,76,77.25,79,100,34,134,28,128,189,4,8,11.78,3.4,1
250,Peyton Siva,2013,1,71.5,73,75,93,41.5,134.5,33.5,126.5,181,6.1,15,10.59,3.16,1
251,Deshaun Thomas,2013,1,77,79,82,104,32,136,28.5,132.5,220,9.1,5,12.94,3.53,3
